combination:,0
848,124999,-3.0
848,124999,-3000
996,554,1
1143,246,1
1290,196,1
1438,170,1
1585,156,1
1732,146,1
1880,138,1
2027,133,1
2175,129,1
2322,127,1
2469,125,1
2617,123,1
2764,124,1
2911,125,1
3059,125,1
3206,128,1
3353,132,1
3501,135,1
3648,143,1
3795,152,1
3943,164,1
4090,186,1
4238,221,1
4385,325,1
4534,344,1
4684,237,1
4833,194,1
4982,167,1
5132,148,1
5281,136,1
5430,125,1
5580,116,1
5729,110,1
5875,108,1
6021,110,1
6167,112,1
6314,113,1
6460,117,1
6606,121,1
6752,126,1
6898,131,1
7044,138,1
7191,146,1
7337,160,1
7483,178,1
7629,206,1
7775,261,1
7922,599,1
7922,0,-3500
7922,0,-2000
7771,394,0
7621,188,0
7471,159,0
7320,148,0
7170,148,0
7020,157,0
6869,179,0
6719,277,0
6566,1261,0
6413,103,0
6259,80,0
6106,67,0
5953,58,0
5800,52,0
5650,49,0
5499,50,0
5349,52,0
5199,53,0
5049,54,0
4899,55,0
4749,56,0
4599,58,0
4449,59,0
4299,61,0
4149,62,0
3999,64,0
3849,66,0
3699,68,0
3549,70,0
3399,73,0
3249,75,0
3099,78,0
2949,81,0
2799,85,0
2649,89,0
2499,93,0
2349,98,0
2199,104,0
2049,110,0
1899,118,0
1749,127,0
1598,137,0
1448,152,0
1298,171,0
1148,197,0
998,236,0
848,303,0
