combination:,4
1875,124999,-1.0
1875,124999,-1000
2211,544,1
2553,229,1
2894,178,1
3230,153,1
3561,138,1
3885,127,1
4201,120,1
4510,114,1
4810,110,1
5102,107,1
5385,104,1
5660,102,1
5926,101,1
6183,99,1
6432,98,1
6673,97,1
6905,97,1
7128,97,1
7344,96,1
7551,96,1
7750,96,1
7940,97,1
8123,97,1
8298,97,1
8465,98,1
8625,98,1
8776,100,1
8921,99,1
9057,101,1
9187,101,1
9309,102,1
9424,103,1
9532,104,1
9633,105,1
9727,106,1
9814,108,1
9895,108,1
9969,110,1
10037,111,1
10098,114,1
10153,115,1
10202,118,1
10245,120,1
10282,125,1
10313,131,1
10338,143,1
10358,155,1
10372,192,1
10380,297,1
10384,547,1
10382,1076,0
10374,281,0
10362,208,0
10345,166,0
10323,146,0
10296,135,0
10265,132,0
10229,127,0
10188,123,0
10143,123,0
10094,123,0
10041,123,0
9984,124,0
9922,122,0
9857,125,0
9789,127,0
9716,126,0
9640,128,0
9545,130,0
9445,131,0
9340,132,0
9231,134,0
9118,136,0
9000,137,0
8879,141,0
8754,143,0
8626,146,0
8494,148,0
8359,152,0
8221,155,0
8080,159,0
7936,163,0
7789,167,0
7641,173,0
7490,178,0
7337,184,0
7182,191,0
7026,200,0
6868,208,0
6709,219,0
6548,230,0
6387,245,0
6224,260,0
6061,282,0
5898,309,0
5734,343,0
5570,392,0
5406,468,0
5243,620,0
5079,1523,0
5079,0,-10000
4919,983,0
4759,434,0
4601,351,0
4443,306,0
4287,281,0
4133,264,0
3980,252,0
3829,244,0
3681,240,0
3535,236,0
3392,236,0
3253,238,0
3116,239,0
2984,246,0
2855,251,0
2732,264,0
2613,274,0
2500,293,0
2394,319,0
2294,348,0
2201,390,0
2117,458,0
2041,549,0
1975,717,0
1920,1067,0
1875,2905,0
